#*OUTPUT EVTP
#*EVENT NRS IN MEASUREMENT OF TPRIME DISTRIBUTION
#  0.10000E+07     ULUMI (1/NB)
#            2     IPN
#  2002.442000     SED
#     0.030000     X
#     0.020000     XBIN
#    17.500000     QQ
#     5.000000     QQBIN
#     1.000000     ALR
#     0.020000     ALRBIN
#     0.005000     TPBIN
#          200     NBIN
#    -0.004167     TP0 -- TMPMIN(ABS)
#    -0.004169     TP1 -- TMPMIN(ALR)
#     0.029265     RES
#     0.538458     F2N
#*
#*COL1  TP     TPRIME (GEV**2)
#*COL2  PR2    SQUARED RECOIL 3-MOM RF (GEV**2)
#*COL3  PTR    RECOIL TRANSVERSE MOMENTUM (GEV)
#*COL4  FSIG   TAGGED DIFF CROSS SECN (NB/GEV**4)
#*COL5  UNUM   EVENT NUMBER IN BIN
#*COL6  F2/SPOL   TAGGED F2/POLE FACTOR
 -0.9350 0.4654E+00 0.6448E+00 0.9807E-02 0.1245E+00 0.1762E-01
 -0.9400 0.4679E+00 0.6464E+00 0.9640E-02 0.1223E+00 0.1750E-01
 -0.9450 0.4704E+00 0.6479E+00 0.9478E-02 0.1201E+00 0.1739E-01
 -0.9500 0.4729E+00 0.6495E+00 0.9319E-02 0.1180E+00 0.1728E-01
 -0.9550 0.4754E+00 0.6510E+00 0.9164E-02 0.1159E+00 0.1717E-01
 -0.9600 0.4779E+00 0.6526E+00 0.9012E-02 0.1139E+00 0.1707E-01
 -0.9650 0.4804E+00 0.6541E+00 0.8863E-02 0.1119E+00 0.1696E-01
 -0.9700 0.4829E+00 0.6557E+00 0.8718E-02 0.1099E+00 0.1686E-01
 -0.9750 0.4854E+00 0.6572E+00 0.8576E-02 0.1081E+00 0.1675E-01
 -0.9800 0.4879E+00 0.6587E+00 0.8436E-02 0.1062E+00 0.1665E-01
 -0.9850 0.4904E+00 0.6602E+00 0.8300E-02 0.1044E+00 0.1655E-01
 -0.9900 0.4929E+00 0.6617E+00 0.8167E-02 0.1026E+00 0.1645E-01
 -0.9950 0.4954E+00 0.6632E+00 0.8036E-02 0.1009E+00 0.1635E-01
 -1.0000 0.4979E+00 0.6648E+00 0.7909E-02 0.9920E-01 0.1625E-01
