#*OUTPUT EVTP
#*EVENT NRS IN MEASUREMENT OF TPRIME DISTRIBUTION
#  0.10000E+07     ULUMI (1/NB)
#            2     IPN
#  2002.442000     SED
#     0.100000     X
#     0.020000     XBIN
#    17.500000     QQ
#     5.000000     QQBIN
#     1.000000     ALR
#     0.020000     ALRBIN
#     0.005000     TPBIN
#          200     NBIN
#    -0.004167     TP0 -- TMPMIN(ABS)
#    -0.004169     TP1 -- TMPMIN(ALR)
#     0.029265     RES
#     0.458118     F2N
#*
#*COL1  TP     TPRIME (GEV**2)
#*COL2  PR2    SQUARED RECOIL 3-MOM RF (GEV**2)
#*COL3  PTR    RECOIL TRANSVERSE MOMENTUM (GEV)
#*COL4  FSIG   TAGGED DIFF CROSS SECN (NB/GEV**4)
#*COL5  UNUM   EVENT NUMBER IN BIN
#*COL6  F2/SPOL   TAGGED F2/POLE FACTOR
  0.5100 0.2529E+00 0.4865E+00 0.2247E+00 0.3497E+00 0.3151E-01
  0.5150 0.2554E+00 0.4888E+00 0.2220E+00 0.3385E+00 0.3114E-01
  0.5200 0.2579E+00 0.4910E+00 0.2194E+00 0.3277E+00 0.3077E-01
  0.5250 0.2604E+00 0.4933E+00 0.2169E+00 0.3174E+00 0.3041E-01
  0.5300 0.2629E+00 0.4955E+00 0.2144E+00 0.3075E+00 0.3006E-01
  0.5350 0.2654E+00 0.4977E+00 0.2119E+00 0.2980E+00 0.2971E-01
  0.5400 0.2679E+00 0.4999E+00 0.2095E+00 0.2889E+00 0.2938E-01
  0.5450 0.2704E+00 0.5021E+00 0.2071E+00 0.2801E+00 0.2904E-01
  0.5500 0.2729E+00 0.5042E+00 0.2048E+00 0.2717E+00 0.2872E-01
  0.5550 0.2754E+00 0.5064E+00 0.2025E+00 0.2636E+00 0.2840E-01
  0.5600 0.2779E+00 0.5085E+00 0.2003E+00 0.2558E+00 0.2809E-01
  0.5650 0.2804E+00 0.5107E+00 0.1981E+00 0.2482E+00 0.2778E-01
  0.5700 0.2829E+00 0.5128E+00 0.1960E+00 0.2410E+00 0.2748E-01
  0.5750 0.2854E+00 0.5149E+00 0.1939E+00 0.2341E+00 0.2719E-01
  0.5800 0.2879E+00 0.5170E+00 0.1919E+00 0.2274E+00 0.2690E-01
  0.5850 0.2904E+00 0.5191E+00 0.1898E+00 0.2209E+00 0.2662E-01
  0.5900 0.2929E+00 0.5212E+00 0.1879E+00 0.2147E+00 0.2634E-01
  0.5950 0.2954E+00 0.5232E+00 0.1859E+00 0.2087E+00 0.2607E-01
  0.6000 0.2979E+00 0.5253E+00 0.1840E+00 0.2029E+00 0.2580E-01
  0.6050 0.3004E+00 0.5274E+00 0.1821E+00 0.1973E+00 0.2554E-01
  0.6100 0.3029E+00 0.5294E+00 0.1803E+00 0.1919E+00 0.2528E-01
  0.6150 0.3054E+00 0.5314E+00 0.1785E+00 0.1867E+00 0.2503E-01
  0.6200 0.3079E+00 0.5334E+00 0.1767E+00 0.1817E+00 0.2478E-01
  0.6250 0.3104E+00 0.5355E+00 0.1750E+00 0.1769E+00 0.2454E-01
  0.6300 0.3129E+00 0.5375E+00 0.1733E+00 0.1722E+00 0.2430E-01
  0.6350 0.3154E+00 0.5394E+00 0.1716E+00 0.1677E+00 0.2406E-01
  0.6400 0.3179E+00 0.5414E+00 0.1699E+00 0.1633E+00 0.2383E-01
  0.6450 0.3204E+00 0.5434E+00 0.1683E+00 0.1591E+00 0.2360E-01
  0.6500 0.3229E+00 0.5454E+00 0.1667E+00 0.1550E+00 0.2338E-01
  0.6550 0.3254E+00 0.5473E+00 0.1651E+00 0.1511E+00 0.2316E-01
  0.6600 0.3279E+00 0.5493E+00 0.1636E+00 0.1472E+00 0.2294E-01
  0.6650 0.3304E+00 0.5512E+00 0.1621E+00 0.1435E+00 0.2273E-01
  0.6700 0.3329E+00 0.5531E+00 0.1606E+00 0.1400E+00 0.2252E-01
  0.6750 0.3354E+00 0.5550E+00 0.1591E+00 0.1365E+00 0.2232E-01
  0.6800 0.3379E+00 0.5570E+00 0.1577E+00 0.1331E+00 0.2211E-01
  0.6850 0.3404E+00 0.5589E+00 0.1563E+00 0.1299E+00 0.2191E-01
  0.6900 0.3429E+00 0.5608E+00 0.1549E+00 0.1268E+00 0.2172E-01
  0.6950 0.3454E+00 0.5626E+00 0.1535E+00 0.1237E+00 0.2153E-01
  0.7000 0.3479E+00 0.5645E+00 0.1522E+00 0.1207E+00 0.2134E-01
  0.7050 0.3504E+00 0.5664E+00 0.1508E+00 0.1179E+00 0.2115E-01
  0.7100 0.3529E+00 0.5682E+00 0.1495E+00 0.1151E+00 0.2097E-01
  0.7150 0.3554E+00 0.5701E+00 0.1483E+00 0.1124E+00 0.2079E-01
  0.7200 0.3579E+00 0.5719E+00 0.1470E+00 0.1098E+00 0.2061E-01
  0.7250 0.3604E+00 0.5738E+00 0.1457E+00 0.1073E+00 0.2044E-01
  0.7300 0.3629E+00 0.5756E+00 0.1445E+00 0.1048E+00 0.2027E-01
  0.7350 0.3654E+00 0.5774E+00 0.1433E+00 0.1024E+00 0.2010E-01
  0.7400 0.3679E+00 0.5792E+00 0.1421E+00 0.1001E+00 0.1993E-01
  0.7450 0.3704E+00 0.5811E+00 0.1410E+00 0.9785E-01 0.1977E-01
  0.7500 0.3729E+00 0.5828E+00 0.1398E+00 0.9567E-01 0.1960E-01
  0.7550 0.3754E+00 0.5846E+00 0.1387E+00 0.9354E-01 0.1944E-01
  0.7600 0.3779E+00 0.5864E+00 0.1375E+00 0.9148E-01 0.1929E-01
  0.7650 0.3804E+00 0.5882E+00 0.1364E+00 0.8948E-01 0.1913E-01
  0.7700 0.3829E+00 0.5900E+00 0.1354E+00 0.8753E-01 0.1898E-01
  0.7750 0.3854E+00 0.5917E+00 0.1343E+00 0.8564E-01 0.1883E-01
  0.7800 0.3879E+00 0.5935E+00 0.1332E+00 0.8380E-01 0.1868E-01
  0.7850 0.3904E+00 0.5952E+00 0.1322E+00 0.8201E-01 0.1854E-01
  0.7900 0.3929E+00 0.5970E+00 0.1312E+00 0.8027E-01 0.1839E-01
  0.7950 0.3954E+00 0.5987E+00 0.1302E+00 0.7858E-01 0.1825E-01
  0.8000 0.3979E+00 0.6005E+00 0.1292E+00 0.7693E-01 0.1811E-01
  0.8050 0.4004E+00 0.6022E+00 0.1282E+00 0.7533E-01 0.1798E-01
  0.8100 0.4029E+00 0.6039E+00 0.1272E+00 0.7377E-01 0.1784E-01
  0.8150 0.4054E+00 0.6056E+00 0.1263E+00 0.7225E-01 0.1771E-01
  0.8200 0.4079E+00 0.6073E+00 0.1253E+00 0.7077E-01 0.1758E-01
  0.8250 0.4104E+00 0.6090E+00 0.1244E+00 0.6933E-01 0.1745E-01
  0.8300 0.4129E+00 0.6107E+00 0.1235E+00 0.6793E-01 0.1732E-01
  0.8350 0.4154E+00 0.6124E+00 0.1226E+00 0.6657E-01 0.1719E-01
  0.8400 0.4179E+00 0.6141E+00 0.1217E+00 0.6524E-01 0.1707E-01
  0.8450 0.4204E+00 0.6157E+00 0.1208E+00 0.6394E-01 0.1694E-01
  0.8500 0.4229E+00 0.6174E+00 0.1200E+00 0.6268E-01 0.1682E-01
  0.8550 0.4254E+00 0.6190E+00 0.1191E+00 0.6145E-01 0.1670E-01
  0.8600 0.4279E+00 0.6207E+00 0.1183E+00 0.6025E-01 0.1659E-01
  0.8650 0.4304E+00 0.6224E+00 0.1174E+00 0.5908E-01 0.1647E-01
  0.8700 0.4329E+00 0.6240E+00 0.1166E+00 0.5794E-01 0.1635E-01
  0.8750 0.4354E+00 0.6256E+00 0.1158E+00 0.5683E-01 0.1624E-01
  0.8800 0.4379E+00 0.6273E+00 0.1150E+00 0.5575E-01 0.1613E-01
